id,start,end,text
0,00:00:03.040,00:00:14.420," Allora, ci sono quelle torri di legno e sopra le torri c'è un principe, c'è un cavalliere, è una principezza."
1,00:00:15.380,00:00:25.820, Lo scopo del gioco è che il cavalliere deve raggiungere la principezza e tu vi devi fare un percorso al cavalliere per raggiungere la principezza.
2,00:00:26.380,00:00:33.320," Ci sono delle scale che tu devi utilizzare, devi inserire l'interno dei spazi che hai."
3,00:00:37.100,00:00:50.680," Il cavalliere per poter raggiungere la principezza è l'importante che non deve fare dei salti, può salire le scale, può camminare su una superficie piana, l'importante che non fa dei salti."
4,00:00:50.680,00:00:56.900, Non posso venire a spossare la torre della principezza in quella del gioco.
5,00:00:56.900,00:01:02.480," Questa è la scala, come le puoi mettere per fare questo percorso."
6,00:01:02.940,00:01:08.420, L'importante è che le scale ci sono i vari credini e c'è l'ultimo gradino.
7,00:01:08.560,00:01:16.740," Le scale non le metti mai sull'ultimo gradino, c'è con la base come luce."
8,00:01:17.000,00:01:23.700," L'ultimo gradino come base, ma deve essere la base pianana e che deve essere inserito."
9,00:01:30.220,00:01:34.040," C'è un po' di scala, non sei come sono fatte."
10,00:01:35.660,00:01:39.880," Ci sono questi pezzi di legno, rettangolari."
11,00:01:39.880,00:01:45.880, E poi un pezzettino alla fine del rettangolo ci sono 4 scalini.
12,00:01:48.140,00:01:52.900," Questa base che abbiamo da questa parte è piano, discio."
13,00:01:53.560,00:01:54.980, Invece di qualsiasi sono gli scalini.
14,00:01:54.980,00:01:59.400, L'importante è che le scale non le metti mai in maniera verticale con gli scalini sotto.
15,00:01:59.620,00:02:01.060, Ma deve essere sempre al contrario.
16,00:02:01.100,00:02:04.800, La base è pianosotto e poi comunque puoi fare l'importante questo.
17,00:02:04.800,00:02:06.820, Puoi farle come meglio credi.
18,00:02:06.920,00:02:09.020, L'importante è che il principale non facce salti.
19,00:02:11.460,00:02:14.880, La sua spiegaria non si spiegà lui.
20,00:02:18.900,00:02:25.380, Ci sono due torri in cui c'è il principale e nell'altra parte c'è la principessa nell'altra torre.
21,00:02:25.960,00:02:27.540, Noi grazie a degli scalini.
22,00:02:27.820,00:02:31.260, Dobbiamo fare arrivare in principale dalla principessa.
23,00:02:32.100,00:02:34.100, L'importante è che non puoi fare salti.
24,00:02:34.140,00:02:35.660, E non dobbiamo mettere il scalini.
25,00:02:36.700,00:02:39.040, Il scalini a terra è incredibile.
26,00:02:39.520,00:02:39.820, Ok.
